date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:55	2102/2102	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:49%20GMT	https://static.wixstatic.com/media/baac51_ae96d298952242c2bb5cce4abdcab7a9~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_ae96d298952242c2bb5cce4abdcab7a9~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_ae96d298952242c2bb5cce4abdcab7a9_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_ae96d298952242c2bb5cce4abdcab7a9_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:56	1271984/1271984	---MCZ	200	added ('OK')	text/html	etag:W/%22a0763f00342c1b15f300af20b34a63fd%22	https://www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-2	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-2.html	(from https://www.wix.com/templateses/cap-hats_es)
09:30:56	2366/2366	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:53%20GMT	https://static.wixstatic.com/media/baac51_444fa6e3add545a6b3757f46a11ee9de~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_444fa6e3add545a6b3757f46a11ee9de~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_444fa6e3add545a6b3757f46a11ee9de_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_444fa6e3add545a6b3757f46a11ee9de_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:56	1267193/1267193	---MCZ	200	added ('OK')	text/html	etag:W/%2270f13415d0f2929ff24e89443514c5b0%22	https://www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-3	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-3.html	(from https://www.wix.com/templateses/cap-hats_es)
09:30:56	2146/2146	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:53%20GMT	https://static.wixstatic.com/media/baac51_96428f6f85de47268baeffa9258f681f~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_96428f6f85de47268baeffa9258f681f~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_96428f6f85de47268baeffa9258f681f_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_96428f6f85de47268baeffa9258f681f_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:56	2283/2283	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:55%20GMT	https://static.wixstatic.com/media/baac51_34821e1460024305a72be06274bd65d6~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_34821e1460024305a72be06274bd65d6~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_34821e1460024305a72be06274bd65d6_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_34821e1460024305a72be06274bd65d6_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:56	1272151/1272151	---MCZ	200	added ('OK')	text/html	etag:W/%2289bc353ff2d7eb416f0ac6ae6cec0574%22	https://www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-4	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-4.html	(from https://www.wix.com/templateses/cap-hats_es)
09:30:56	1267278/1267278	---MCZ	200	added ('OK')	text/html	etag:W/%228b47e5a4e35b6aee23186f50f1bfbf0f%22	https://www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-5	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-5.html	(from https://www.wix.com/templateses/cap-hats_es)
09:30:57	2031/2031	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:55%20GMT	https://static.wixstatic.com/media/baac51_b9031651b1e2480b80e11d455923f407~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_b9031651b1e2480b80e11d455923f407~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_b9031651b1e2480b80e11d455923f407_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_b9031651b1e2480b80e11d455923f407_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:57	2384/2384	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:57%20GMT	https://static.wixstatic.com/media/baac51_3564de284ffd41e6a9b4f3f908e3003a~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_3564de284ffd41e6a9b4f3f908e3003a~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_3564de284ffd41e6a9b4f3f908e3003a_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_3564de284ffd41e6a9b4f3f908e3003a_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
